state,facility_name,facility_type,street_address,city,county,zip
Arkansas,Conway Healthcare & Rehab Center (Faulkner),Skilled Nursing Facility,2603 Dave Ward Drive,Conway,Faulkner,72032
Arkansas,Des Arc Nursing & Rehab Center,Skilled Nursing Facility,"2216 West Main, P.O. Box 143B",Des Arc,Prairie,72040
Arkansas,Garland Nursing & Rehab Center and Apts.,Skilled Nursing Facility,610 Carpenter Dam Road,Hot Springs,Garland,71901
Arkansas,Sheridan Nursing & Rehab Center,Skilled Nursing Facility,113 South Briarwood Drive,Sheridan,Grant,72150
Arkansas,The Atrium at Serenity Pointe,Assisted Living Facility,2803 Albert Pike Road,Hot Springs,Garland,71913
California,Arbor Hills Nursing & Rehab,Skilled Nursing Facility,7800 Parkway Avenue,La Mesa,San Diego,91942
California,Artesia,Traumatic Brain Injury,17724 Gridley Road,Artesia,Los Angeles,90701
California,Artesia Palms,Skilled Nursing Facility,11900 East Artesia Boulevard,Artesia,Los Angeles,90701
California,Arvin,Skilled Nursing Facility,323 Campus Drive,Arvin,Kern,93203
California,Bakersfield,Skilled Nursing Facility,6212 Tudor Way,Bakersfield,Kern,93306
California,Camino (fka Hawthorne),Skilled Nursing Facility,13922 Cerise Avenue,Hawthorne,San Diego,90250
California,Castle Manor Nursing & Rehab,Skilled Nursing Facility,541 South V Avenue,National City,San Diego,91950
California,Chatsworth,Traumatic Brain Injury,10339 Oso Avenue,Chatsworth,Los Angeles,91311
California,Claremont,Skilled Nursing Facility,219 East Foothill Boulevard,Pomona,Los Angeles,91768
California,Community Care,Skilled Nursing Facility,4070 Jurupa Avenue,Riverside,Riverside,92506
California,Country Oaks,Skilled Nursing Facility,215 West Pearl Street,Pomona,Los Angeles,91768
California,Diablo Valley (Concord),Skilled Nursing Facility,3806 Clayton Road,Concord,Contra Costa,94521
California,Extended Care,Skilled Nursing Facility,8171 Magnolia Avenue,Riverside,Riverside,92504
California,Fremont,Skilled Nursing Facility,2400 Parkside Drive,Fremont,Alameda,94536
California,French Park,Skilled Nursing Facility,600 East Washington Avenue,Santa Ana,Orange,92701
California,Fresno-Marks,Traumatic Brain Injury,6385 North Marks,Fresno,Fresno,93711
California,Friendship Manor Nursing & Rehab,Skilled Nursing Facility,902 Euclid Avenue,National City,San Diego,91950
California,Gilroy,Traumatic Brain Injury,11500 Center Avenue,Gilroy,Santa Clara,95020
California,Golden Hills Subacute & Rehab Center,Skilled Nursing Facility,1201 34th Street,San Diego,San Diego,92102
California,Gordon Lane,Skilled Nursing Facility,1819 East Chapman Avenue,Fullerton,Orange,92831
California,Granite Bay,Traumatic Brain Injury,7150 Sierra Ponds Lane,Granite Bay,Placer,95746
California,Hayward Gardens,Skilled Nursing Facility,1628 B Street,Hayward,Alameda,94541
California,Heritage Court Assisted Living,Assisted Living Facility,275 Garnet Way B,Upland,San Bernardino,91786
California,Heritage Manor,Skilled Nursing Facility,610 North Garfield Avenue,Monterey Park,Los Angeles,91754
California,Heritage Park Nursing,Skilled Nursing Facility,275 Garnet Way,Upland,San Bernardino,91786
California,Kearny Mesa Nursing,Skilled Nursing Facility,7675 Family Circle,San Diego,San Diego,92111
California,Kentfield Rehab & Specialty Hospital,Long Term Acute Care Hospital,1125 Sir Francis Drake Boulevard,Kentfield,Marin,94904
California,La Habra,Traumatic Brain Injury,102 East Avocado Crest Road,La Habra,Orange,90631
California,Lakeport,Skilled Nursing Facility,1291 Craig Avenue,Lakeport,Lake,95453
California,Lindsay Gardens,Skilled Nursing Facility,1011 W. Tulare Road,Lindsay,Tulare,93247
California,Marin,Traumatic Brain Injury,2390 Sir Frances Drake Boulevard,Fairfax,Marin,94930
California,Mission,Skilled Nursing Facility,8487 Magnolia Street,Riverside,Riverside,92504
California,Murrieta,Assisted Living Facility,24350 Jackson Avenue,Murrieta,Riverside,92562
California,Newport Beach,Skilled Nursing Facility,1555 Superior Avenue,Newport Beach,Orange,92663
California,North Valley,Skilled Nursing Facility,7660 Wyngate Street,Tujunga,Los Angeles,91042
California,Oxnard,Traumatic Brain Injury,1540 Teal Club Road,Oxnard,Ventura,93030
California,Pleasanton,Traumatic Brain Injury,446 Sycamore Road,Pleasanton,Alameda,94566
California,Pomona Vista,Skilled Nursing Facility,651 North Main Street,Pomona,Los Angeles,91768
California,Ridgeway (Petaluma),Skilled Nursing Facility,523 Hayes Lane,Petaluma,Sonoma,94952
California,Sacramento,Traumatic Brain Injury,7601 Jacinto Road,Elk Grove,Sacramento,95758
California,Salinas,Skilled Nursing Facility,637 East Romie Lane,Salinas,Monterey,93901
California,San Diego,Skilled Nursing Facility,3022 45th Street,San Diego,San Diego,92105
California,Sierra View,Skilled Nursing Facility,14318 Ohio Street,Baldwin Park,Los Angeles,91706
California,St. Catherine (fka Fullerton),Skilled Nursing Facility,245 East Wilshire Avenue,Fullerton,Orange,92832
California,Sun Villa (Sequoia),Skilled Nursing Facility,350 N. Villa Street,Porterville,Tulare,93257
California,Sunset Villa (Long Beach),Skilled Nursing Facility,3232 East Artesia Boulevard,Long Beach,Los Angeles,90805
California,Texhoma (Northridge),Traumatic Brain Injury,9440 Texhoma Avenue,Northridge,Los Angeles,91325
California,Valley (Gateway),Skilled Nursing Facility,661 W Poplar,Porterville,Tulare,93257
California,Victoria (fka Rose),Skilled Nursing Facility,3541 Puente Avenue,Baldwin Park,Los Angeles,91706
California,Villa Rancho Bernardo,Skilled Nursing Facility,15720 Bernardo Center Drive,San Diego,San Diego,92127
California,Vista Knoll Specialized Care Facility,Skilled Nursing Facility,2000 Westwood Road,Vista,San Diego,92083
California,Blossom Grove,Assisted Living Facility,11116 New Jersey Street,Redlands,San Bernardino,92373
Colorado,Amberwood,Skilled Nursing Facility,4686 E. Asbury Circle,Denver,Denver,80222
Colorado,Atlas (Pueblo),Skilled Nursing Facility,2611 Jones Avenue,Pueblo,Pueblo,81004
Colorado,Boulder (Mesa Vista),Skilled Nursing Facility,2121 Mesa Drive,Boulder,Boulder,80304
Colorado,Brookshire,Skilled Nursing Facility,4660 E. Asbury Circle,Denver,Denver,80222
Colorado,Eagle Ridge,Skilled Nursing Facility,2425 Teller Ave,Grand Junction,Mesa,81501
Colorado,Highline,Skilled Nursing Facility,6060 East Iliff Avenue,Denver,Denver,80222
Colorado,Lakeside (Christopher House),Skilled Nursing Facility,6270 W. 38th Avenue,Wheat Ridge,Jefferson,80033
Colorado,Mountain View IL (Cheyenna Place),Independent Living Facility,945 Tenderfoot Hill Road,Colorado Springs,El Paso,80906
Colorado,Mountain View SNF(Cheyenne Mountain),Skilled Nursing Facility,835 Tenderfoot Hill Road,Colorado Springs,El Paso,80906
Colorado,Pikes Peak Care Center,Skilled Nursing Facility,2719 North Union Boulevard,Colorado Springs,El Paso,80909
Colorado,Red Cliffs (Mesa Manor),Skilled Nursing Facility,2901 North 12th Street,Grand Junction,Mesa,81506
Colorado,Riverdale,Skilled Nursing Facility,2311 E. Bridge Street,Brighton,Adams,80601
Colorado,Sierra,Skilled Nursing Facility,1432 Depew Street,Lakewood,Jefferson,80214
Colorado,Westwood (North Star),Skilled Nursing Facility,3185 W. Arkansas Avenue,Denver,Denver,80219
Connecticut,Benchmark at Stamford,Assisted Living Facility,251 Turn of River,Stamford,Fairfield,06905
Connecticut,Danbury,Assisted Living Facility,22 Hospital Avenue (30 Crane Street),Danbury,Fairfield,06810
Connecticut,Darien,Assisted Living Facility,599 Boston Post Road,Darien,Fairfield,06820
Connecticut,Newtown,Assisted Living Facility,166 Mount Pleasant Road,Newtown,Fairfield,06470
Connecticut,Norwalk (Strawberry Hill),Assisted Living Facility,73 Strawberry Hill Avenue,Norwalk,Fairfield,06855
Connecticut,Orange,Assisted Living Facility,245 Indian River Road,Orange,New Haven,06477
Connecticut,Southport,Assisted Living Facility,917 Mill Hill Terrace,Southport,Fairfield,06890
Connecticut,Stony Hill (Bethel),Assisted Living Facility,"46 Stony Hill Road, US Route 6",Bethel,Fairfield,06801
Connecticut,District of Columbia,Embassy,Assisted Living Facility,"2100 Massachusetts Avenue, NW",Washington,DC
England,Aldringham Court,Assisted Living Facility,Aldeburgh Road,Aldringham,Suffolk,IP16 4QF
England,Alexandra House,Assisted Living Facility,Havelock Terrace,Gateshead,Tyne & Wear,NE8 1QU
England,Alexandra View,Assisted Living Facility,Lilburn Place,Southwick,Sunderland,SR5 2AF
England,Ashfield Court,Assisted Living Facility,Great Lime Road,Forest Hall,Newcastle Upon Tyne,NE12 9DH
England,Ashlea Court,Assisted Living Facility,Church Lane,Waltham Grimsby,Waltham Grimsby,DN37 0ES
England,Ashley Court,Assisted Living Facility,6-10 St Peter's Road,Poole,Dorset,BH14 0PA
England,Ashley Gardens,Assisted Living Facility,Sutton Road,Maidstone,Kent,ME15 8RA
England,Autumn Vale Care Centre,Assisted Living Facility,Danesbury Park Road,Welwyn,Hertfordshire,AL6 9SW
England,Avon Lodge,Assisted Living Facility,Southey Avenue,Kingswood,Bristol,BS15 1QT
England,Aycliffe,Assisted Living Facility,Burnhope,Newton Aycliffe,Durham,DL5 7ER
England,Ayresome Court,Assisted Living Facility,Green Lane,Yarm,Stockton on Tees,TS15 9EH
England,Barking Hall,Assisted Living Facility,Needham Market,Barking,Suffolk,IP6 8HJ
England,Baugh House,Assisted Living Facility,19 Baugh Road,Sidcup,Kent,DA14 5ED
England,Beaumont,Assisted Living Facility,56 Kenilworth Road,Coventry,Coventry,CV4 7AH
England,Beaumont Park,Assisted Living Facility,Shortmead Street,Biggleswade,Bedfordshire,SG18 0AT
England,Bedhampton,Assisted Living Facility,55 Hulbert Road,Bedhampton,Havant,PO9 3TB
England,Beech Grove,Assisted Living Facility,St. Paul's Street,Low Moor,Clitheroe,BB7 2LS
England,Bilney Hall,Assisted Living Facility,East Bilney,East Bilney,Norfolk,NR20 4AL
England,Blandford Grange,Assisted Living Facility,Milldown Road,Blandford Forum,Dorset,DT11 7DE
England,Bletchley House,Assisted Living Facility,Beaverbrook Court,"Bletchley, Milton Keynes",Buckinghamshire,MK3 7JS
England,Brackenridge House,Assisted Living Facility,Brackenhill Victoria Road,"Ruislip, Hillingdon",Middlesex,HA4 0JH
England,Brantwood Hall,Assisted Living Facility,10-14 (even) North Avenue,Wakefield,Wakefield,WF1 3RX
England,Bridge View,Assisted Living Facility,Ashington Drive,Choppington,Northumberland,NE62 5JF
England,Burrows House,Assisted Living Facility,12 Derwent Road,"Penge, London",London,SE20 8SW
England,Cameron House,Assisted Living Facility,2 Cameron Street,Elton Bury,Greater Manchester,BL8 2QH
England,Cedar Court,Assisted Living Facility,60 Moorland Road,Witney,Oxfordshire,OX28 6LG
England,Cedar Grange,Assisted Living Facility,Main Street,Cherry Burton,Beverly,HU17 7RF
England,Chapel Lodge,Assisted Living Facility,105 Station Road,Chapeltown,Sheffield,S35 2XF
England,Charlton Court,Assisted Living Facility,Bristol Drive,Wallsend,Tyne & Wear,NE28 9RH
England,Chichester Court,Assisted Living Facility,111 Chicester Road,South Shields,Tyne & Wear,NE33 4HE
England,Church House,Assisted Living Facility,Coole Lane,Austerson,"Nantwich, Cheshire East",CW5 8AB
England,Church View,Assisted Living Facility,Main Street,"South Church, Biship Aukland",Country Durham,DL14 6SL
England,Claremont House / Lodge,Assisted Living Facility,"20a Yarmouth Road, Caister-on-Sea",Great Yarmouth,Norfolk,NR30 5AA
England,Coble House,Assisted Living Facility,North View,Whitley Bay,North Tyneside,NE12 2EU
England,Comfort House,Assisted Living Facility,21 Middlegate,Tyne & Wear,Newcastle Upon Tyne,NE5 5AY
England,Crofton Court,Assisted Living Facility,Edward Street,Blyth,Northumberland,NE24 1DW
England,Croston,Assisted Living Facility,Town Road,Croston,Leyland,PR26 9RA
England,Dene Park House,Assisted Living Facility,Killingworth Road,South Gosforth,Newcastle Upon Tyne,NE3 1SY
England,Dolphin View,Assisted Living Facility,Harbour Road,Amble,Northumberland,NE65 0AP
England,Drayton Village Care Centre,Assisted Living Facility,1 Spring Promenade,"West Drayton, London",London,UB7 9GL
England,Evergreens,Assisted Living Facility,Stephenson Court Station Road,"Forest Hall, Newcastle Upon Tyne",North Tyneside,NE12 9BQ
England,Fornham House,Assisted Living Facility,Fornham St Martin,Bury St Edmunds,Suffolk,IP31 1SR
England,Foxearth Lodge,Assisted Living Facility,Little Green,"Saxtead, Woodbridge",Suffolk,IP13 9QY
England,Foxgrove Court,Assisted Living Facility,High Road East,Felixstowe,Suffolk,IP11 9PU
England,Frindsbury Hall,Assisted Living Facility,Frindsbury Hill,Rochester,Medway,ME2 4JS
England,Guisborough Manor,Assisted Living Facility,Woodhouse Triangle Middlesborough Road,Guisborough,Guisborough Manor,TS14 6QU
England,Halcyon Days Care Home,Assisted Living Facility,"The Old Rectory, Church Lane","Graveley, Hitchin",Hertfordshire,SG4 7LU
England,Hamilton House,Assisted Living Facility,West Street,Buckingham,Buckinghamshire,MK18 1HL
England,Handford House,Assisted Living Facility,27A Cumberland Street,Ipswich,Suffolk,IP1 3PA
England,Haughgate,Assisted Living Facility,Haugh Lane,Woodbridge,Suffolk,IP12 1JG
England,Haythorne Place,Assisted Living Facility,Shiregreen Lane,Shirefield,Sheffield,S5 6AB
England,Heath Lodge,Assisted Living Facility,Danesbury Park Road,Welwyn,Hertfordshire,AL6 9SN
England,Hillcroft House,Assisted Living Facility,Finborough Road,Stowmarket,Suffolk,IP14 1PW
England,Hillside Nursing Home,Assisted Living Facility,North Hill Drive,Romford,Essex,RM3 9AW
England,Hilltop Lodge,Assisted Living Facility,White Lane,Chapeltown,Sheffield,S35 2YH
England,Home Close,Assisted Living Facility,Cow Lane,Fulbourn,Cambridgeshire,CB21 5HB
England,Home Meadow,Assisted Living Facility,Comberton Road,Toft,Cambridgeshire,CB23 2RY
England,Hylton View,Assisted Living Facility,Old Mill Road,Southwick,Sunderland,SR5 5TP
England,Ivybank House,Assisted Living Facility,Ivy Bank Park,Bath,Somerset,BA2 5NF
England,Kent House,Assisted Living Facility,Augustine Road,Harrow,Middlesex,HA3 5NS
England,Kingsley Court,Assisted Living Facility,855 Uxbridge Road,Hayes,Middlesex,UB4 8HZ
England,Langford Park Nursing Home,Assisted Living Facility,Langford Road,Exeter,Exeter,EX5 5AG
England,Lindsay House,Assisted Living Facility,Parbold Hill,"Parbold, Wigan",Lancashire,WN8 7TG
England,Long Meadow,Assisted Living Facility,"Bakewell Road, Darley Dale",Matlock,Derbyshire,DE4 3BN
England,Lowgate,Assisted Living Facility,Grass Road,Lowgate,Hexham,NE46 2NN
England,Lucton House,Assisted Living Facility,8 Long Wood,Birmingham,West Midlands,B30 1HT
England,Magnolia House,Assisted Living Facility,42 - 52 Hull Road,Cottingham,East Yorkshire,HU16 4PX
England,Malthouse,Assisted Living Facility,Bay Road,Gillingham,Dorset,SP8 4EW
England,Manor House,Assisted Living Facility,1 Amblecote Avenue,Birmingham,West Midlands,B44 9AL
England,Martins House,Assisted Living Facility,Jessop Road,Stevenage,Hertfordshire,SG1 5LL
England,Maynell House,Assisted Living Facility,High Road East,Felixstowe,Suffolk,IP11 9PU
England,Meadow House,Assisted Living Facility,Norwich Road,Swaffham,Norfolk,PE37 8DD
England,Mill Lane,Assisted Living Facility,Mill Lane,Felixstowe,Suffolk,IP11 7RW
England,Moorend Place,Assisted Living Facility,34 Commonside,Walkley,Sheffield,S10 1GE
England,Moorfield House,Assisted Living Facility,6 Kenton Road,Gosforth,Newcastle Upon Tyne,NE3 4NB
England,Moorgate 3,Assisted Living Facility,Nightingale Close,Rotherham,South Yorkshire,S60 2AB
England,Oaklands House,Assisted Living Facility,"Lowestoft Road, Reydon",Southwold,Suffolk,IP18 6RD
England,Old Vicarage,Assisted Living Facility,Leigh,Sherborne,Dorset,DT9 6HL
England,Olive House,Assisted Living Facility,"Olive Avenue, Newton Flotman",Norwich,Norfolk,NR15 1PF
England,Overbury House,Assisted Living Facility,9 Staitheway Road,Wroxham,Norfolk,NR12 8TH
England,Park House,Assisted Living Facility,27 Park Crescent,Peterborough,Cambridgeshire,PE1 4DX
England,Park View,Assisted Living Facility,Feetham Avenue,Newcastle Upon Tyne,Newcastle Upon Tyne,NE12 9QN
England,Partridge House,Assisted Living Facility,"Heath Hill Ave, Bevendean",East Sussex,Sussex,BN2 4LT
England,Pavilion Court,Assisted Living Facility,Mckendrick Villas,Tyne & Wear,Newcastle Upon Tyne,NE5 3AB
England,Peregrine House,Assisted Living Facility,281 to 287 (Odd) St. Ann's Road,"Tottenham, London",London,N15 5RE
England,Philips Court,Assisted Living Facility,Bluebell Close,Beacon Lough,Gateshead,NE9 6RL
England,Piper Court,Assisted Living Facility,Sycamore Way,Stockton-On-Tees,Durham,TS19 8FR
England,Princes Court,Assisted Living Facility,Hedley Road,North Shields,Tyne & Wear,NE29 6XP
England,Queensway House,Assisted Living Facility,Jupiter Drive,Hemel Hempstead,Hertfordshire,HP2 5NP
England,Red Brick House,Assisted Living Facility,Victoria Terrace,Prudhoe,Northumberland,NE42 5AE
England,Rosemount,Assisted Living Facility,Earsdon Road,West Monkseaton,North Tyneside,NE25 9YF
England,Sandown Park,Assisted Living Facility,61 Vale Road,Windsor,Berkshire,SL4 5JY
England,Saxlingham Hall,Assisted Living Facility,The Green,Saxlingham Nethergate,Norwich,NR15 1TH
England,Seale Pastures House,Assisted Living Facility,Burton Road,"Acresford, Swadlincote",Derbyshire,DE12 8AP
England,Shipdham Manor,Assisted Living Facility,Chapel Street,Shipdham,Norfolk,IP25 7LB
England,South Bebside,Assisted Living Facility,Patterdale Road,Blyth,Northumberland,NE24 5JU
England,South Park,Assisted Living Facility,Gale Lane,Acomb,York,YO2 3HX
England,South Quay,Assisted Living Facility,Cowpen Road,Blyth,Northumberland,NE24 5TT
England,Sovereign Lodge,Assisted Living Facility,2 Carew Road,Eastbourne,East Sussex,BN21 2BF
England,Springfield House,Assisted Living Facility,Oaken Drive,Codsall,Wolverhampton,WV8 2EE
England,St Leonard’s Court,Assisted Living Facility,"6 St. Leonard's Street, Mundford",Thetford,Norfolk,IP26 5HG
England,St Marks Court,Assisted Living Facility,73 Split,"Crow Road, Gateshead",Tyne & Wear,NE8 3SA
England,St Peters Court,Assisted Living Facility,98 Church Bank,"Wallsend, Notrh Tyneside",Tyne & Wear,NE28 7LH
England,St. Stephens Care Home,Assisted Living Facility,"St. Stephens Terrace, Droitwich Road",Worcester,Worcestershire,WR3 7HU
England,Stanshawes Nursing Home,Assisted Living Facility,11 Stanshawes Drive,Yate,Bristol,BS37 4ET
England,Swiss Cottage,Assisted Living Facility,Plantation Road,Leighton Buzzard,Bedfordshire,LU7 3HU
England,Tenchley Manor,Assisted Living Facility,Ursula Square,Selsey,Chichester,PO20 0HR
England,The Chase,Assisted Living Facility,4 Printers Avenue,Watford,Hertfordshire,WD18 7QR
England,The Gables,Assisted Living Facility,"6 Marine Parade, Gorleston",Great Yarmouth,Norfolk,NR31 6DU
England,The Hall,Assisted Living Facility,Chestnut Avenue,Thornton Le Dale,North Yorkshire,YO18 7RR
England,The Hillings,Assisted Living Facility,"Grenville Way , Eaton Socon",St Neots,Cambridgeshire,PE19 8HZ
England,The Lodge,Assisted Living Facility,Portway,Langport,Somerset,TA10 0NQ
England,The Manor House,Assisted Living Facility,Skeyton Road,North Walsham,Norfolk,NR28 0LU
England,The Tudors Care Home,Assisted Living Facility,North Street,Stanground Peterborough,Cambridgeshire,PE2 8HR
England,The White House,Assisted Living Facility,15 Ashmans Road,Beccles,Suffolk,NR34 9NS
England,Uvedale Hall,Assisted Living Facility,Coddenham Road,Needham Market,Suffolk,IP6 8AX
England,Victoria,Assisted Living Facility,Victoria Street,St. Helens,Merseyside,WA11 8DA
England,Walcot Hall,Assisted Living Facility,Walcot Road,"Walcott Green, Diss",Norfolk,IP22 5SR
England,Wallace House,Assisted Living Facility,Ravensworth Road,Dunston,Gateshead,NE11 9AE
England,Washington Manor,Assisted Living Facility,Hollin Hill Road,Washington,Washington,NE37 2DP
England,Wellburn House,Assisted Living Facility,Wellburn Road,Stockton-On-Tees,Durham,TS19 7PP
England,Westerleigh,Assisted Living Facility,Scott Street,Stanley,Durham,DH9 8AD
England,Wheatfield Court,Assisted Living Facility,Wheatfield Road,Newcastle Upon Tyne,Tyne & Wear,NE5 5HQ
England,Willow Court,Assisted Living Facility,Osborne Gardens,North Shields,Tyne & Wear,NE29 9AT
England,Willow Green,Assisted Living Facility,Eastbourne Road,Darlington,Darlington,DL1 4ER
England,Willow Lodge,Assisted Living Facility,Osborne Gardens,North Shields,Tyne & Wear,NE29 9AT
England,Willowbrook,Assisted Living Facility,363 Aldridge Road,Birmingham,Staffordshire,B44 8BW
England,Willowmead Care Home,Assisted Living Facility,Wickham Bishops Road,Hatfield Peverel Chelmsford,Hertfordshire,CM3 2JL
England,Windermere Grange,Assisted Living Facility,Windermere Road,Middlesborough,Middlesborough,TS5 5DH
England,Woodside Grange,Assisted Living Facility,Tedder Avenue,Thornaby,Stockton-on-Tees,TS17 9JP
England,Wordsworth House,Assisted Living Facility,Clayton Road,Jesmond,Newcastle Upon Tyne,NE2 1TL
England,Alexander,Assisted Living Facility,21 Rushey Mead Lewisham,London,Kent,SE4 1JJ
England,Amber Lodge,Assisted Living Facility,21 Thornhill Road,"Armley, Leeds",Stirlingshire,LS12 4LL
England,April Park,Assisted Living Facility,West Street,Eckington,Derbyshire,S21 4GA
England,Ash Court,Assisted Living Facility,Brookside Avenue,"Knotty Ash, Liverpool",Lancashire,L14 7NB
England,Aspen Court (Tower Hamlets),Assisted Living Facility,17-21 Dodd Street,Limehouse London,Cheshire,E14 7EP
England,"Beeches, The",Assisted Living Facility,Yew Tree Lane,Dukinfield,Cheshire,SK16 5BJ
England,Carrington Court (Grosvenor),Assisted Living Facility,190-191 Derby Lane,Hindley Wigan Greater Manchester,Lancashire,WN2 3DU
England,Fazakerley House,Assisted Living Facility,Park Road,"Prescot, Merseyside",Lancashire,L34 3LN
England,Fir Trees,Assisted Living Facility,"Gorse Hill Road, Dukinfield, SK16 5HN",Dukinfield,Cheshire,SK16 5HN
England,Holme Lea,Assisted Living Facility,Ashtley Road,Stalybridge,South Yorkshire,SK15 1RA
England,Holmwood,Assisted Living Facility,"Warminster Road, Norton Lees",Sheffield,South Yorkshire,S8 9BN
England,Kirkby House,Assisted Living Facility,James Holt Avenue,"Kirkby, Merseyside",Lancashire,L32 5TD
England,Milliner Court (Barton House),Assisted Living Facility,Marsh Road,Luton,Bedfordshire,LU3 2QE
England,Oaklands (Laindon),Assisted Living Facility,"Forest Glade, Dunton Hills",Laindon,Essex,SS16 6SA
England,"Orchards (Birmingham), The",Assisted Living Facility,"Shard End Crescent, Shard End",Birmingham,West Midlands,B34 7BP
England,Rievaulx House,Assisted Living Facility,21 Thornhill Road,"Armley, Leeds","Yorkshire, West Riding",LS12 4LL
England,Rosebridge Court,Assisted Living Facility,190-191 Derby Lane,Hindley Wigan Greater Manchester,Lancashire,WN2 3DU
England,Stamford Court,Assisted Living Facility,Astley Road,Stalybridge,Lancashire,SK15 1RA
England,Westwood Lodge,Assisted Living Facility,"Brookview, Heimsman Way, Off Poolstock Lane",Wigan,Lancashire,WN3 5DJ
England,Yew Trees,Assisted Living Facility,"Yew Tree Lane,",Dukinfield,Cheshire,SK16 5BJ
England,Abingdon Court,Assisted Living Facility,Marcham Road,Abingdon,Berkshire,OX14 1AD
England,Appletree Court,Assisted Living Facility,158 Burnt Oak Broadway,"Burnt Oak, Edgware",Middlesex,HA8 0AX
England,Chestnut Court,Assisted Living Facility,Frizlands Lane,Dagenham,Essex,RM10 7YD
England,Highfield,Assisted Living Facility,Mandeville Road,Saffron Walden,Essex,CB11 4AQ
England,Kents Hill,Assisted Living Facility,50 Tunbridge Grove,"Kents Hill, Milton Keynes",Buckinghamshire,MK7 6JD
England,Parkview House,Assisted Living Facility,206/212 Chingford Mount Road,"Chingford, London",Essex,E4 8JR
England,Alexandra Court,Assisted Living Facility,110 Victoria Road East,"Thornton, Cleveleys",Lancashire,FY5 3SZ
England,Allingham House,Assisted Living Facility,"Stocksdean Close, Deansgate Lane",Timperley Altrincham,West Riding,WA15 6S
England,"Belvedere, The",Assisted Living Facility,Horseshoe Lane,Alderley Edge,Cheshire,SK9 7QP
England,Birch Heath Lodge,Assisted Living Facility,Birch Heath Lane,"Christleton, Chester",Cheshire,CH3 7AP
England,Bowerfield Court,Assisted Living Facility,3 Broadwood Close,"Disley, Stockport",Cheshire,SK12 2NJ
England,Bowerfield House,Assisted Living Facility,3 Broadwood Close,"Disley, Stockport",Cheshire,SK12 2NJ
England,Bridge House,Assisted Living Facility,Farnham Road,Elstead,Surrey,GU8 6DB
England,Carmel Lodge,Assisted Living Facility,London Road,"Adlington, Macclesfield",Cheshire,SK10 4NJ
England,Cavendish Court,Assisted Living Facility,Horseshoe Lane,Alderley Edge,Cheshire,SK9 7QP
England,Clarendon Court,Assisted Living Facility,Beechwood Stapeley,Nantwich,Cheshire,CW5 7FY
England,Corinthian House,Assisted Living Facility,Green Hill Lane,"Upper Wortley, Leeds",West Yorkshire,LS12 4EZ
England,Furze Hill Lodge,Assisted Living Facility,Furze Hill,"Kinswood, Tadworth",Surrey,KT20 6EP
England,Hope Green,Assisted Living Facility,London Road,"Adlington, Macclesfield",Cheshire,SK10 4NJ
England,Manorhey Care Ctr,Assisted Living Facility,128-130 Stretford Road,Urmston Manchester,Lancashire,M41 9LT
England,Monread Lodge,Assisted Living Facility,London Road,"Woomer Green, Hertfordshire",Hertfordshire,SG3 6HG
England,Rosedale,Assisted Living Facility,"The Old Vicarage, Catterick Rd",TBD,North Yorkshire,DL9 4DD
England,Water Royd House,Assisted Living Facility,Locke Road,"Gilroyd, Barnsley",South Yorkshire,S75 3QH
