series_id,series_name,year,period,period_name,value,latest
PCU623110623110,PPI Overall,2021,M02,February,246.0,False
PCU623110623110,PPI Overall,2021,M01,January,245.7,False
PCU623110623110,PPI Overall,2020,M13,Annual,241.9,False
PCU623110623110,PPI Overall,2020,M12,December,245.0,False
PCU623110623110,PPI Overall,2020,M11,November,245.1,False
PCU623110623110,PPI Overall,2020,M10,October,245.3,False
PCU623110623110,PPI Overall,2020,M09,September,243.1,False
PCU623110623110,PPI Overall,2020,M08,August,243.6,False
PCU623110623110,PPI Overall,2020,M07,July,242.8,False
PCU623110623110,PPI Overall,2020,M06,June,241.7,False
PCU623110623110,PPI Overall,2020,M05,May,241.3,False
PCU623110623110,PPI Overall,2020,M04,April,239.6,False
PCU623110623110,PPI Overall,2020,M03,March,239.3,False
PCU623110623110,PPI Overall,2020,M02,February,238.5,False
PCU623110623110,PPI Overall,2020,M01,January,237.9,False
PCU623110623110101,PPI Medicare,2024,M13,Annual,156.807,False
PCU623110623110101,PPI Medicare,2024,M12,December,160.038,False
PCU623110623110101,PPI Medicare,2024,M11,November,159.756,False
PCU623110623110101,PPI Medicare,2024,M10,October,159.899,False
PCU623110623110101,PPI Medicare,2024,M09,September,159.4,False
PCU623110623110101,PPI Medicare,2024,M08,August,159.32,False
PCU623110623110101,PPI Medicare,2024,M07,July,159.077,False
PCU623110623110101,PPI Medicare,2024,M06,June,154.481,False
PCU623110623110101,PPI Medicare,2024,M05,May,154.384,False
PCU623110623110101,PPI Medicare,2024,M04,April,154.398,False
PCU623110623110101,PPI Medicare,2024,M03,March,153.684,False
PCU623110623110101,PPI Medicare,2024,M02,February,153.572,False
PCU623110623110101,PPI Medicare,2024,M01,January,153.682,False
PCU623110623110101,PPI Medicare,2023,M13,Annual,148.41,False
PCU623110623110101,PPI Medicare,2023,M12,December,153.456,False
PCU623110623110101,PPI Medicare,2023,M11,November,153.639,False
PCU623110623110101,PPI Medicare,2023,M10,October,152.726,False
PCU623110623110101,PPI Medicare,2023,M09,September,150.502,False
PCU623110623110101,PPI Medicare,2023,M08,August,150.256,False
PCU623110623110101,PPI Medicare,2023,M07,July,149.502,False
PCU623110623110101,PPI Medicare,2023,M06,June,144.17,False
PCU623110623110101,PPI Medicare,2023,M05,May,144.395,False
PCU623110623110101,PPI Medicare,2023,M04,April,144.704,False
PCU623110623110101,PPI Medicare,2023,M03,March,145.738,False
PCU623110623110101,PPI Medicare,2023,M02,February,145.826,False
PCU623110623110101,PPI Medicare,2023,M01,January,146.002,False
PCU623110623110101,PPI Medicare,2022,M13,Annual,135.645,False
PCU623110623110101,PPI Medicare,2022,M12,December,141.494,False
PCU623110623110101,PPI Medicare,2022,M11,November,141.56,False
PCU623110623110101,PPI Medicare,2022,M10,October,140.546,False
PCU623110623110101,PPI Medicare,2022,M09,September,138.965,False
PCU623110623110101,PPI Medicare,2022,M08,August,138.338,False
PCU623110623110101,PPI Medicare,2022,M07,July,138.031,False
PCU623110623110101,PPI Medicare,2022,M06,June,131.84,False
PCU623110623110101,PPI Medicare,2022,M05,May,131.467,False
PCU623110623110101,PPI Medicare,2022,M04,April,131.204,False
PCU623110623110101,PPI Medicare,2022,M03,March,131.265,False
PCU623110623110101,PPI Medicare,2022,M02,February,131.068,False
PCU623110623110101,PPI Medicare,2022,M01,January,131.957,False
PCU623110623110101,PPI Medicare,2021,M13,Annual,129.006,False
PCU623110623110101,PPI Medicare,2021,M12,December,131.525,False
PCU623110623110101,PPI Medicare,2021,M11,November,131.718,False
PCU623110623110101,PPI Medicare,2021,M10,October,130.903,False
PCU623110623110101,PPI Medicare,2021,M09,September,129.869,False
PCU623110623110101,PPI Medicare,2021,M08,August,130.011,False
PCU623110623110101,PPI Medicare,2021,M07,July,128.955,False
PCU623110623110101,PPI Medicare,2021,M06,June,127.7,False
PCU623110623110101,PPI Medicare,2021,M05,May,126.6,False
PCU623110623110101,PPI Medicare,2021,M04,April,126.3,False
PCU623110623110101,PPI Medicare,2021,M03,March,128.2,False
PCU623110623110101,PPI Medicare,2021,M02,February,128.2,False
PCU623110623110101,PPI Medicare,2021,M01,January,128.2,False
PCU623110623110101,PPI Medicare,2020,M13,Annual,124.1,False
PCU623110623110101,PPI Medicare,2020,M12,December,127.4,False
PCU623110623110101,PPI Medicare,2020,M11,November,127.4,False
PCU623110623110101,PPI Medicare,2020,M10,October,127.5,False
PCU623110623110101,PPI Medicare,2020,M09,September,125.7,False
PCU623110623110101,PPI Medicare,2020,M08,August,125.7,False
PCU623110623110101,PPI Medicare,2020,M07,July,124.7,False
PCU623110623110101,PPI Medicare,2020,M06,June,123.2,False
PCU623110623110101,PPI Medicare,2020,M05,May,122.9,False
PCU623110623110101,PPI Medicare,2020,M04,April,121.9,False
PCU623110623110101,PPI Medicare,2020,M03,March,121.5,False
PCU623110623110101,PPI Medicare,2020,M02,February,121.0,False
PCU623110623110101,PPI Medicare,2020,M01,January,120.4,False
PCU623110623110102,PPI Medicaid,2024,M13,Annual,124.255,False
PCU623110623110102,PPI Medicaid,2024,M12,December,128.985,False
PCU623110623110102,PPI Medicaid,2024,M11,November,128.985,False
PCU623110623110102,PPI Medicaid,2024,M10,October,128.985,False
PCU623110623110102,PPI Medicaid,2024,M09,September,122.687,False
PCU623110623110102,PPI Medicaid,2024,M08,August,122.687,False
PCU623110623110102,PPI Medicaid,2024,M07,July,122.687,False
PCU623110623110102,PPI Medicaid,2024,M06,June,122.674,False
PCU623110623110102,PPI Medicaid,2024,M05,May,122.674,False
PCU623110623110102,PPI Medicaid,2024,M04,April,122.674,False
PCU623110623110102,PPI Medicaid,2024,M03,March,122.674,False
PCU623110623110102,PPI Medicaid,2024,M02,February,122.674,False
PCU623110623110102,PPI Medicaid,2024,M01,January,122.674,False
PCU623110623110102,PPI Medicaid,2023,M13,Annual,120.093,False
PCU623110623110102,PPI Medicaid,2023,M12,December,122.674,False
PCU623110623110102,PPI Medicaid,2023,M11,November,122.674,False
PCU623110623110102,PPI Medicaid,2023,M10,October,122.686,False
PCU623110623110102,PPI Medicaid,2023,M09,September,119.25,False
PCU623110623110102,PPI Medicaid,2023,M08,August,119.248,False
PCU623110623110102,PPI Medicaid,2023,M07,July,119.248,False
PCU623110623110102,PPI Medicaid,2023,M06,June,119.293,False
PCU623110623110102,PPI Medicaid,2023,M05,May,119.263,False
PCU623110623110102,PPI Medicaid,2023,M04,April,119.263,False
PCU623110623110102,PPI Medicaid,2023,M03,March,119.172,False
PCU623110623110102,PPI Medicaid,2023,M02,February,119.172,False
PCU623110623110102,PPI Medicaid,2023,M01,January,119.172,False
PCU623110623110102,PPI Medicaid,2022,M13,Annual,117.735,False
PCU623110623110102,PPI Medicaid,2022,M12,December,119.172,False
PCU623110623110102,PPI Medicaid,2022,M11,November,119.172,False
PCU623110623110102,PPI Medicaid,2022,M10,October,119.155,False
PCU623110623110102,PPI Medicaid,2022,M09,September,116.179,False
PCU623110623110102,PPI Medicaid,2022,M08,August,116.195,False
PCU623110623110102,PPI Medicaid,2022,M07,July,116.195,False
PCU623110623110102,PPI Medicaid,2022,M06,June,117.365,False
PCU623110623110102,PPI Medicaid,2022,M05,May,117.365,False
PCU623110623110102,PPI Medicaid,2022,M04,April,117.365,False
PCU623110623110102,PPI Medicaid,2022,M03,March,118.22,False
PCU623110623110102,PPI Medicaid,2022,M02,February,118.22,False
PCU623110623110102,PPI Medicaid,2022,M01,January,118.22,False
PCU623110623110102,PPI Medicaid,2021,M13,Annual,117.308,False
PCU623110623110102,PPI Medicaid,2021,M12,December,118.22,False
PCU623110623110102,PPI Medicaid,2021,M11,November,118.22,False
PCU623110623110102,PPI Medicaid,2021,M10,October,118.22,False
PCU623110623110102,PPI Medicaid,2021,M09,September,116.965,False
PCU623110623110102,PPI Medicaid,2021,M08,August,116.965,False
PCU623110623110102,PPI Medicaid,2021,M07,July,116.965,False
PCU623110623110102,PPI Medicaid,2021,M06,June,117.0,False
PCU623110623110102,PPI Medicaid,2021,M05,May,117.0,False
PCU623110623110102,PPI Medicaid,2021,M04,April,117.0,False
PCU623110623110102,PPI Medicaid,2021,M03,March,117.1,False
PCU623110623110102,PPI Medicaid,2021,M02,February,117.1,False
PCU623110623110102,PPI Medicaid,2021,M01,January,117.1,False
PCU623110623110102,PPI Medicaid,2020,M13,Annual,114.3,False
PCU623110623110102,PPI Medicaid,2020,M12,December,117.1,False
PCU623110623110102,PPI Medicaid,2020,M11,November,117.1,False
PCU623110623110102,PPI Medicaid,2020,M10,October,117.1,False
PCU623110623110102,PPI Medicaid,2020,M09,September,114.4,False
PCU623110623110102,PPI Medicaid,2020,M08,August,114.4,False
PCU623110623110102,PPI Medicaid,2020,M07,July,114.4,False
PCU623110623110102,PPI Medicaid,2020,M06,June,114.4,False
PCU623110623110102,PPI Medicaid,2020,M05,May,114.4,False
PCU623110623110102,PPI Medicaid,2020,M04,April,112.1,False
PCU623110623110102,PPI Medicaid,2020,M03,March,112.3,False
PCU623110623110102,PPI Medicaid,2020,M02,February,112.3,False
PCU623110623110102,PPI Medicaid,2020,M01,January,112.3,False
